order_id,order_item_id,sku,price,quantity
3,3,SKU956,3149.0,2.0
3,1,SKU-258,100.0,2.0
3,2,SKU-905,999.99,2.0
4,2,SKU_1028,1649.0,2.0
5,3,SKU1146,1562.0,2.0
5,4,NAN,4881.0,2.0
5,2,SKU691,100.0,1.0
6,2,NAN,100.0,2.0
7,2,SKU1193,635.0,2.0
8,3,SKU351,999.99,2.0
9,3,SKU_1095,1979.0,1.0
11,3,SKU-1180,1325.0,2.0
14,1,SKU919,1627.0,2.0
19,2,SKU_44,2487.0,2.0
19,1,SKU-1111,3177.0,2.0
20,3,SKU-501,999.99,1.0
20,2,SKU-259,100.0,2.0
21,2,SKU781,100.0,2.0
21,4,SKU642,999.99,2.0
23,1,SKU_916,1323.0,2.0
25,2,SKU-220,100.0,2.0
26,3,SKU_1112,3397.0,1.0
27,1,SKU314,3298.0,1.0
27,3,NAN,100.0,1.0
27,2,SKU1155,2309.0,1.0
28,1,SKU1023,999.99,2.0
29,3,SKU-891,100.0,2.0
29,1,SKU-683,3144.0,1.0
30,3,SKU619,1971.0,1.0
34,1,SKU-323,2203.0,2.0
34,2,NAN,3339.0,1.0
36,1,SKU3,4027.0,2.0
37,2,NAN,4205.0,2.0
37,3,SKU-577,4929.0,2.0
40,2,NAN,1292.0,2.0
40,1,SKU550,999.99,2.0
43,1,NAN,2364.0,2.0
43,4,SKU353,4212.0,1.0
44,2,SKU_37,999.99,1.0
46,2,SKU_660,435.0,2.0
48,1,SKU-90,1018.0,2.0
49,2,SKU-990,1560.0,2.0
50,2,SKU_159,999.99,2.0
52,1,SKU585,999.99,1.0
54,1,SKU_721,3210.0,1.0
61,1,NAN,2270.0,2.0
62,1,SKU_156,112.0,2.0
63,3,SKU101,100.0,1.0
63,2,SKU-174,1419.0,2.0
65,4,SKU10,100.0,2.0
65,3,SKU544,2810.0,1.0
69,2,SKU154,999.99,2.0
70,3,SKU_1088,100.0,2.0
71,3,SKU-1192,2628.0,2.0
73,3,SKU473,999.99,2.0
74,2,SKU-647,100.0,2.0
75,4,NAN,4998.0,2.0
77,1,SKU-381,999.99,2.0
77,4,SKU144,3205.0,1.0
78,2,SKU452,100.0,2.0
78,1,NAN,2063.0,2.0
80,2,SKU718,4970.0,1.0
83,2,SKU_984,100.0,1.0
86,1,SKU976,999.99,1.0
87,1,SKU-336,3167.0,1.0
87,3,SKU-1023,1785.0,2.0
87,4,SKU_772,100.0,1.0
89,2,SKU-674,999.99,2.0
92,1,SKU-1137,999.99,2.0
93,1,SKU_802,100.0,2.0
94,2,SKU841,101.0,2.0
95,1,SKU-89,3523.0,2.0
97,1,NAN,3449.0,2.0
98,1,SKU-921,2651.0,2.0
103,1,SKU858,379.0,2.0
104,2,SKU-83,4211.0,2.0
104,1,SKU804,999.99,2.0
105,1,NAN,1039.0,2.0
107,4,SKU-1099,2455.0,2.0
107,3,SKU_787,999.99,2.0
108,2,SKU-758,1643.0,1.0
109,1,NAN,999.99,1.0
109,2,SKU-1200,740.0,2.0
110,1,SKU-370,1763.0,1.0
112,1,SKU-1185,4836.0,1.0
114,2,SKU_309,100.0,2.0
114,3,SKU753,100.0,2.0
117,1,SKU-405,831.0,2.0
117,4,SKU1131,3910.0,1.0
123,2,SKU-739,4696.0,2.0
123,4,SKU594,999.99,2.0
123,3,SKU_1127,100.0,2.0
129,4,SKU_345,2387.0,2.0
131,1,NAN,999.99,2.0
132,1,SKU_345,100.0,1.0
138,1,SKU578,999.99,2.0
138,3,SKU879,2405.0,2.0
142,3,SKU904,100.0,2.0
142,2,SKU-460,2031.0,2.0
