order_id,order_item_id,sku,price,quantity
4559,3, sku-30 ,2583,1
13522,1, sku-8 , 100 ,
11224,1,SKU_643,free,1
3102,1,SKU796,3076,one
5207,2, sku-96 ,3738,1
5,4,,4881,2
1384,1,  SKU921  ,4057,2
11972,2,SKU839,free,one
13155,1,SKU293,999.99,2
4790,1, sku-314 ,free,2
15295,2,SKU109, 100 ,
12000,2,  SKU1180  , 100 ,2
9893,1,  SKU1138  ,free,2
1824,3,SKU175,2311,1
13263,2,,free,1
12186,3,SKU_95, 100 ,1
3683,4,SKU296,999.99,
9132,4,SKU641,2845,one
7212,1,  SKU487  ,free,2
16236,2,SKU_319,999.99,2
8009,3,SKU_140,3869,one
7222,3,SKU_386,3387,1
4217,4,SKU_753, 100 ,1
9214,1,,999.99,one
13998,3, sku-596 ,999.99,
15418,1,  SKU320  ,free,
77,2,  SKU189  ,free,1
13102,1,,999.99,one
16930,1,,999.99,2
7715,2,SKU1103,999.99,2
4401,1,SKU_261,2438,2
8429,4,SKU260,free,1
17007,1,SKU_752,free,one
12052,2,  SKU223  ,361,1
14552,3,,,1
14509,4,SKU_1115,free,1
14627,1,,1057,one
10017,4, sku-757 , 100 ,
17402,3,SKU_267,free,2
4996,3,SKU560,4559,2
14545,1,,free,2
14648,1,SKU_655,999.99,2
17829,1,,free,2
10970,2,SKU_1075,999.99,2
8694,3,SKU_913,2844,2
11656,1,SKU_279,free,
12264,3,SKU667,2719,2
5737,1,,free,2
9138,1,SKU_1028,3594,2
16751,2,  SKU534  ,999.99,
12467,1,SKU192,1832,one
4193,1,  SKU134  ,3487,one
16274,2,SKU540,,
7783,3,SKU771, 100 ,
18069,1,SKU946,free,one
13180,2,,free,1
19505,2, sku-580 , 100 ,1
3490,1,SKU927, 100 ,one
4985,1,SKU1060,4411,2
2225,1,,4498,
19328,4,  SKU1078  ,1995,2
10193,2,SKU_857,,1
11856,2, sku-710 , 100 ,2
3513,1,,free,2
19145,2,SKU980,999.99,2
11294,2,SKU369,free,1
1019,2, sku-361 ,free,one
8915,2,SKU_281, 100 ,
7182,2,SKU_649, 100 ,1
12331,2,, 100 ,one
4209,1,  SKU377  ,,
7168,2,,free,2
13602,4,SKU540,999.99,
60,3,,free,one
4774,4, sku-81 ,,1
3013,2,SKU504,999.99,2
16534,1,,free,one
13830,3,SKU_1165,547,2
11483,1,,3549,2
13090,2,SKU_967,,2
10090,2,SKU_1030,460,2
6177,3,  SKU463  ,,one
13431,1,  SKU553  ,928,1
13467,2, sku-331 ,,2
17405,2,,free,one
5325,2,SKU850,3381,one
16598,3,SKU_32,2590,1
1240,2,SKU518,3994,
2949,2,SKU1112,1127,one
5287,1,  SKU465  ,,2
14448,1,SKU_52,,2
8364,1,  SKU129  ,999.99,
13291,1, sku-1187 ,free,one
19181,3,SKU_1162, 100 ,1
4170,1, sku-17 ,3630,
1668,2,,1279,2
17415,2,,1582,one
7686,1,,,2
19973,2,,56,one
14701,4,,999.99,2
8274,2, sku-387 ,,2
926,1,,952,2
3372,3,SKU368,,one
7895,2,,free,2
19668,1,SKU_925,3735,one
8125,3,SKU_919,free,1
5116,2,  SKU302  ,4183,
7591,3,SKU314,,2
13982,1,  SKU623  ,,one
9865,2,SKU695,4561,1
7363,2,SKU514,1222,
4433,3,,999.99,
944,3,,4567,2
8287,2,,,
11562,2,SKU742,3926,1
17969,3, sku-303 , 100 ,2
13809,2, sku-1065 , 100 ,
977,2, sku-671 ,4906,
9445,3, sku-1030 , 100 ,2
1253,1,,4059,1
18915,3,  SKU174  ,999.99,2
7153,1,,412,2
328,2, sku-31 ,1863,one
8374,2,SKU71,508,2
16103,3,  SKU321  ,4720,2
2595,3,,,
12402,3,,999.99,1
11680,1,,3027,one
1849,3,SKU625, 100 ,2
206,1,SKU906,free,1
7202,1,  SKU471  ,,one
3185,1,,999.99,
655,4, sku-855 ,4249,
19254,4,SKU_1108,free,2
3614,3,,2797,2
9335,3,SKU1,free,2
5097,4,SKU_170, 100 ,2
13758,1,SKU_924,469,1
3717,2,  SKU768  ,3938,one
5229,3,SKU_1169,,
17294,2,SKU867,4193,
17112,1,SKU_474,4027,2
19772,1,SKU800,2183,2
11871,3,SKU870,999.99,one
5150,2, sku-235 ,2576,
9116,3,SKU_707,999.99,
9524,3,SKU1043, 100 ,one
12538,1, sku-574 ,999.99,2
5015,1,,free,2
2007,3,,,one
15195,1,  SKU315  ,852,
11275,1,,999.99,
3495,3,, 100 ,2
17102,4,,1730,one
6272,1,  SKU201  ,999.99,2
2894,1,,,one
16168,1,  SKU65  ,1667,one
14720,1, sku-994 ,1161,2
687,3,SKU_156,,
19194,1,,1517,
13100,1,  SKU439  , 100 ,2
14235,2,SKU_537,,one
17059,1,  SKU753  ,4520,
15881,1, sku-910 ,4156,1
