order_id,user_id,order_timestamp,amount
800,937,21-12-2024,  1500  
699,1999,2023-09-29 00:00:00,
7514,  4028  ,2024-11-22 00:00:00,  1500  
13684,5037,,500.50
948,51,08/15/2023,
11245,  1640  ,09/05/2022,3249
10638,  2539  ,  2023-05-16  ,500.50
12195,  5452  ,,500.50
3421,  4993  ,  2023-07-05  ,3547
11918,,  2023-08-21  ,3719
7338,  3479  ,27-04-2024,  1500  
9038,294,2023/05/22,  1500  
4201,,  2024-06-18  ,  1500  
17882,4434,11-12-2024,  1500  
2167,,,555
18058,4100,03-08-2022,abc
13937,,  2023-12-18  ,4587
2087,  4466  ,,500.50
8073,,09/09/2023,4519
14914,,2023/06/13,2449
335,,2022/07/26,3822
2656,  5037  ,2024-10-01 00:00:00,
719,,14-08-2022,500.50
5892,  5  ,10/09/2022,500.50
301,,  2024-01-05  ,153
12963,  4137  ,2022-04-09 00:00:00,500.50
17129,  1959  ,2022-03-09 00:00:00,abc
2575,5426,,500.50
2743,  2933  ,  2024-05-07  ,2429
14167,4011,15-02-2022,
18772,,2024/12/17,4750
7525,  792  ,2024/02/23,abc
6567,  2249  ,07/14/2024,abc
19129,  2143  ,  2024-09-14  ,4509
7540,3772,2024/08/30,2411
3620,,25-08-2022,abc
11448,,2022/07/06,2703
6734,  2173  ,  2022-11-08  ,  1500  
701,  1286  ,,500.50
3622,1673,2024/12/27,500.50
6564,5032,2024-03-09 00:00:00,  1500  
3350,,2023-10-03 00:00:00,  1500  
19710,  4736  ,2022/09/03,1618
19885,5216,  2022-06-03  ,  1500  
2270,4326,  2023-04-15  ,3392
18937,  5550  ,  2023-03-05  ,abc
14848,  2473  ,,
16049,,  2024-07-20  ,500.50
9478,  4816  ,08/13/2022,3171
1221,3275,,500.50
2539,1706,,  1500  
1974,5656,,500.50
8578,1281,23-07-2024,1270
692,  366  ,,500.50
4361,2915,2023/06/15,711
13025,,2023-12-28 00:00:00,896
6369,2465,05/29/2023,abc
1427,3624,06/21/2022,1573
14453,613,05/28/2022,  1500  
2080,,08-06-2023,500.50
16515,3838,  2023-02-22  ,500.50
17178,179,2023-01-30 00:00:00,500.50
6891,  165  ,02/07/2022,500.50
19313,,,
12294,2007,24-05-2024,
908,  3588  ,,4054
3532,,10-05-2023,1474
14123,  1220  ,,  1500  
10886,  3873  ,04/30/2023,  1500  
13106,  5765  ,2024-10-17 00:00:00,  1500  
169,  632  ,  2024-03-08  ,  1500  
14527,  974  ,2024-09-18 00:00:00,abc
2320,,03-11-2023,abc
19596,  2634  ,02/11/2023,500.50
811,  3318  ,07/25/2022,3856
407,  1102  ,09/20/2022,
5802,918,2024/09/21,4875
16060,,  2024-05-14  ,  1500  
3803,,02/17/2024,  1500  
443,2401,2023/08/20,
15799,824,2023-09-16 00:00:00,
2991,,18-04-2022,500.50
2612,  1257  ,12/08/2024,693
10985,465,2024-01-08 00:00:00,abc
65,666,2022/11/08,699
2761,  4634  ,  2024-01-09  ,abc
1871,4181,,  1500  
2256,3708,2023-04-10 00:00:00,  1500  
841,5769,,
9196,,2024-01-17 00:00:00,4109
15081,,09/28/2023,500.50
936,  2895  ,2022-09-21 00:00:00,2695
10341,3348,  2023-08-07  ,500.50
227,1095,,  1500  
2045,3510,2023-10-16 00:00:00,500.50
8899,  4597  ,,
13381,,12-09-2024,3139
1039,,09/03/2024,4187
8142,  4656  ,,
15502,3909,2023/11/25,1681
14774,,15-03-2022,abc
2286,  3951  ,01/10/2022,4910
3127,  2528  ,13-06-2024,124
13290,  4481  ,06-08-2023,500.50
5836,  357  ,02/16/2024,  1500  
196,  3897  ,16-03-2024,abc
8901,,,  1500  
17511,  3689  ,08/12/2022,abc
17102,,03-02-2023,1766
13114,164,19-04-2024,  1500  
9886,4752,03/04/2023,500.50
9991,  5269  ,11/09/2022,  1500  
7251,  4340  ,02/08/2023,4018
7692,5860,25-08-2022,4308
17337,,,abc
8167,4088,03-02-2024,2596
12838,  3458  ,  2023-03-12  ,2026
3377,1262,30-06-2024,
14796,5114,  2023-08-03  ,3548
5467,2726,,4398
19120,,  2023-05-02  ,1871
2337,,01-03-2022,
850,  4452  ,  2023-10-14  ,  1500  
3144,  2327  ,22-04-2024,500.50
231,  4479  ,04-11-2023,
14019,  1882  ,2024/07/14,  1500  
15527,,11-04-2024,1316
15412,  4052  ,,2099
9584,  770  ,11/25/2023,
16356,5422,  2024-11-15  ,abc
5542,1389,2022-03-19 00:00:00,abc
13734,,08/08/2022,500.50
16794,,,3679
13240,,12/22/2022,
14356,,  2024-09-08  ,
17361,  3012  ,  2024-02-07  ,1282
921,,10/25/2023,4562
17440,,,  1500  
4926,,02-10-2022,abc
3294,4567,02/05/2022,500.50
4132,1730,  2024-12-15  ,1945
16491,  5213  ,03/21/2023,  1500  
2123,,,3022
2100,,01/07/2023,
5413,1515,,1381
19054,4411,2023/08/01,  1500  
13988,,2022/10/16,abc
946,2686,22-03-2024,abc
5593,,05/30/2023,4240
17501,,24-02-2024,4682
1317,4737,  2024-10-25  ,abc
15196,,2024-07-19 00:00:00,
655,4201,2022-08-09 00:00:00,abc
12705,,,  1500  
5385,5998,10-05-2024,abc
11061,,  2024-04-16  ,1711
4478,  176  ,04/18/2024,
734,  2171  ,  2023-11-28  ,
2228,3449,07/15/2022,453
17130,2717,05/30/2023,500.50
13512,,18-01-2022,abc
1471,,2023-10-29 00:00:00,4904
3849,,11/30/2024,abc
185,  2626  ,2024-05-04 00:00:00,3212
4646,4658,,1211
8878,,07/09/2023,1622
4401,,  2024-10-06  ,
9449,  2307  ,03/20/2022,
17960,5585,2022-10-23 00:00:00,
2103,,04-10-2023,  1500  
12273,  1152  ,  2023-09-04  ,
9233,,11/28/2022,  1500  
13426,1410,2024/07/24,1735
8283,,  2023-08-18  ,abc
1324,5939,,2053
2841,  4063  ,05/29/2022,500.50
1469,  1114  ,01/29/2023,  1500  
10734,,06/03/2022,1639
6935,825,  2024-02-23  ,4444
7435,,2024-08-29 00:00:00,  1500  
8141,5195,,463
19306,,11/23/2024,4522
4824,  2145  ,  2022-11-13  ,
15153,  1410  ,2023/04/20,  1500  
8622,3941,01/27/2023,
4289,  1557  ,  2024-06-03  ,  1500  
13368,,02-12-2023,2232
13677,,,
6145,,,abc
1032,,2023-05-19 00:00:00,500.50
19833,  1087  ,2022-09-10 00:00:00,500.50
13780,,01/07/2022,
19600,156,05-04-2023,500.50
5487,1148,02/13/2024,  1500  
1179,  5556  ,2023/10/05,
13761,  1256  ,  2024-07-14  ,abc
91,2024,2024/09/10,2381
19913,  3691  ,2023/03/23,1796
16022,3059,2023-12-07 00:00:00,  1500  
19221,  5470  ,,1183
6610,832,,
556,  639  ,02/23/2023,abc
1833,2027,2024-05-09 00:00:00,
7322,4125,23-02-2023,2121
15163,,2024/09/16,  1500  
8173,  5923  ,11/06/2024,abc
6633,,2024-08-17 00:00:00,141
452,  1778  ,04-04-2022,3410
6220,  3385  ,,abc
19485,5761,  2023-04-14  ,3831
18671,  4475  ,01-03-2022,  1500  
17284,,2022-03-11 00:00:00,
19081,,  2022-04-01  ,abc
977,,12/28/2024,abc
16482,  3579  ,2023/03/16,  1500  
2913,  4068  ,10-05-2024,500.50
8538,,2024-12-26 00:00:00,  1500  
8941,,04/02/2024,4271
11806,,2024-05-06 00:00:00,abc
9698,  4653  ,2024/04/05,903
133,677,28-08-2023,  1500  
10233,,06-08-2023,  1500  
10884,154,10/28/2022,1201
15072,2733,2022/06/02,  1500  
16157,2727,  2022-04-19  ,500.50
16470,3130,  2022-09-15  ,2105
3062,,,abc
3920,  2342  ,10/16/2023,1415
9436,  43  ,22-01-2022,  1500  
12419,2650,27-10-2023,1998
9519,,,
17119,2487,22-08-2024,2761
9760,  4624  ,2022-01-27 00:00:00,abc
9998,,11/08/2024,abc
19469,1722,2024/08/14,abc
1151,213,2022/03/09,4701
15836,,  2022-06-07  ,2488
10430,,11/10/2023,
3715,3870,29-09-2024,500.50
6938,  4737  ,17-06-2022,abc
9087,,25-03-2024,3745
622,,04/05/2024,2592
3368,,,500.50
6003,4089,,500.50
17247,114,2024-12-08 00:00:00,500.50
11257,,2022/06/29,2257
3638,3606,2023-03-25 00:00:00,500.50
350,,2024/03/28,  1500  
16361,  2974  ,06-04-2022,  1500  
3495,,2023-10-20 00:00:00,abc
9211,,09/08/2022,
9305,,19-02-2022,500.50
11164,3831,2024-07-06 00:00:00,  1500  
19802,546,,  1500  
2749,,  2022-04-23  ,3821
8607,  2048  ,,2928
11527,,2022/12/08,abc
8894,  350  ,,abc
2784,,21-09-2024,500.50
6250,2474,,4805
15026,1317,11-02-2024,
6416,,  2024-06-13  ,
880,,23-03-2024,abc
204,,2024-09-24 00:00:00,
2978,,22-01-2023,500.50
14,,23-12-2022,abc
5501,939,  2022-11-26  ,  1500  
17547,3575,,500.50
797,,2024-06-07 00:00:00,500.50
8618,5130,05-07-2024,  1500  
2864,  2903  ,11/22/2022,2986
17481,,2024-09-06 00:00:00,1353
7405,,12/19/2023,abc
19599,  2411  ,,500.50
808,2421,03/17/2022,
19366,  732  ,2023-07-15 00:00:00,  1500  
19767,,2023-08-24 00:00:00,1484
1876,1251,23-03-2022,500.50
10357,,  2024-03-09  ,
18401,,  2022-10-31  ,1017
479,  5397  ,  2024-10-22  ,500.50
13125,,,2710
10806,,,
6344,  40  ,05-09-2022,500.50
3667,  4303  ,02/13/2022,
13838,  3328  ,20-01-2022,3278
16646,,,4047
3534,  1507  ,2024/06/02,
14387,,,abc
939,2050,30-03-2024,  1500  
19830,,2024/09/10,  1500  
7211,1361,2023/05/20,2119
1413,4645,02-07-2024,500.50
4349,2668,19-05-2024,abc
10085,,2023/01/13,abc
17876,  822  ,,4212
10550,  3228  ,2024/05/15,
6462,  1970  ,23-04-2022,
4152,395,07-04-2022,  1500  
19987,,,abc
5081,1725,2022-08-01 00:00:00,abc
7835,,  2023-11-02  ,2537
2026,8,  2023-01-31  ,1674
10138,  4899  ,2023/04/20,4621
10981,,30-06-2022,253
12386,,01/03/2024,  1500  
1509,,09/21/2024,2747
6889,,2023/02/22,1998
4428,  5679  ,2024-05-28 00:00:00,500.50
19824,3865,04/27/2022,  1500  
19712,3446,,
15529,,2023-12-11 00:00:00,
18253,5893,04/02/2023,abc
11336,  2874  ,2024/10/04,500.50
11399,  5760  ,17-03-2024,abc
14613,1440,  2024-03-15  ,500.50
16700,921,2022-07-13 00:00:00,1657
11955,  3016  ,,  1500  
12264,,,3817
1385,410,04/25/2022,193
2218,,11/30/2023,
16047,  4242  ,09-03-2022,abc
7323,,2023-08-28 00:00:00,1284
192,,02/20/2022,
11939,,13-08-2022,
12186,,05/29/2023,500.50
4806,,06/16/2024,  1500  
13333,  5158  ,  2023-08-31  ,  1500  
2974,,06/22/2024,3059
19525,4535,2023/10/06,  1500  
14230,832,,
4598,4001,,1783
13814,,10/25/2022,2126
10346,4493,  2023-10-26  ,abc
18998,146,2023/12/24,2165
3330,  4545  ,2022/05/06,4520
7388,  4533  ,04-03-2022,3385
8108,165,26-08-2024,
6998,168,,  1500  
625,  1192  ,29-04-2024,617
607,  1290  ,  2022-03-12  ,500.50
16377,,2023/06/24,1744
12942,916,2024/04/23,
6097,,2023/08/29,500.50
9566,3820,14-07-2024,  1500  
601,  4963  ,2022/08/26,500.50
194,,12-09-2024,156
11316,  2245  ,05-11-2022,abc
5977,  1732  ,03-10-2024,3548
18816,4646,23-12-2024,  1500  
3975,2991,2022-03-07 00:00:00,2599
17519,1958,21-02-2024,
6771,258,,abc
12659,  559  ,10-12-2022,
17705,2435,,
15133,,2023/08/15,  1500  
10517,,11/25/2022,500.50
397,3947,2023/06/14,  1500  
3579,  4332  ,2022/03/25,3899
494,,2024-10-19 00:00:00,3530
7281,5167,  2023-03-09  ,500.50
8461,,  2024-11-12  ,2417
7768,  1156  ,27-03-2023,2229
14417,,21-04-2022,
6729,  4025  ,03-03-2023,803
11887,,,500.50
9762,,  2022-08-20  ,  1500  
19927,1234,,1937
4257,  5047  ,2023-04-26 00:00:00,500.50
19370,  802  ,2023-01-24 00:00:00,abc
15619,,2022/06/30,
12873,  4033  ,10/21/2024,2204
9025,3819,  2023-06-02  ,abc
7758,,2023/09/27,abc
7807,2346,  2022-05-15  ,500.50
13749,,2024/10/12,
18048,  222  ,2024-11-22 00:00:00,500.50
5682,3095,2024/10/26,2478
7335,2921,,abc
11944,,2023-02-27 00:00:00,3651
9967,,  2023-09-01  ,391
5078,  1758  ,  2023-07-04  ,  1500  
5507,,2024-05-30 00:00:00,500.50
17105,4005,,abc
10750,823,05/07/2022,  1500  
11004,  5235  ,2024-05-27 00:00:00,105
11385,,09-07-2024,
675,3083,2022/05/13,2481
8212,2687,  2024-02-09  ,1902
13373,3996,,
1484,,27-12-2024,
16649,  2799  ,11/29/2022,
12530,390,03/08/2022,abc
18059,  4051  ,,3589
13879,  5518  ,2022/01/18,500.50
4840,  1979  ,2022/02/16,500.50
17468,  4694  ,,abc
13072,5621,2022/07/07,3787
3479,636,,500.50
15192,,2022/05/15,
17605,1244,2023-02-06 00:00:00,1513
10889,  1890  ,  2024-06-22  ,1773
18627,  2279  ,,abc
11177,1943,07/13/2023,4491
18175,  763  ,,  1500  
244,2270,04-09-2023,
6799,  2012  ,07/22/2022,1928
13295,  456  ,  2024-05-24  ,
1980,4575,,abc
16384,5586,,500.50
6453,  4123  ,2024-01-20 00:00:00,  1500  
3775,,2024-01-28 00:00:00,2514
13522,,2022-01-28 00:00:00,  1500  
9208,,  2022-01-16  ,
4918,2104,  2022-01-07  ,  1500  
11772,4285,06-06-2022,abc
6690,5515,,500.50
15551,  2259  ,02/20/2022,abc
15781,2301,05-07-2022,3507
5584,2935,03/09/2024,abc
6857,,02-07-2023,abc
17653,,  2024-07-02  ,500.50
3976,,2024-10-01 00:00:00,
799,  1814  ,  2022-01-26  ,500.50
17063,5612,  2022-08-18  ,1002
7299,,2023-08-30 00:00:00,500.50
9295,,29-10-2023,
938,1320,17-12-2022,500.50
19208,  2548  ,,857
8282,,,
683,1596,15-12-2024,abc
11609,  1196  ,  2023-02-12  ,
18684,1839,12-09-2024,1690
9956,,  2024-02-17  ,2217
16444,,,4923
11621,,  2024-09-10  ,
16373,  3697  ,  2024-02-24  ,1160
480,  5945  ,2024/12/15,500.50
17121,  5780  ,2023/01/10,121
896,5073,2024/05/10,500.50
745,5636,2024/09/05,4349
15657,5051,16-06-2024,763
